ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_z7lIkV8SAFnZRGp|5|a friend|my arm|in class|we're in class and we're bored|This person is bored and wants to do something about it so they grab my attention by touching me|Yes, that would be okay.|pointy, tapping, soft, delicate|1184.0|980.0|affection, sympathy|pleasant, delicate, soothing|YES, show me another video||1184.0|-980.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3jVEwADHA4T7ndq|5|A friend|Shoulder|At a pub|My friend knocks on my shoulder.|My friend is trying to get my attention.|Yes, that would be okay.|Rhytmic patting|1075.0|706.0|Curiosity|Attention grabbing|NO, I would like to finish the survey now.||1075.0|-706.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1Q6iRufY3s9Jp68|5|partner|hand or nose|at home|polite teasing|polite teasing|Yes, that would be okay.|light tapping|841.0|373.0|sympathy|friendly|NO, I would like to finish the survey now.||841.0|-373.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3dSAAtKiKwXVAIQ|5|A friend|The touch my shoulder|Im in a public place|They need to get my attention to show me something and i cant hear them cause we are at a party|They are trying to get my attention|Yes, that would be okay.|Alerting|742.0|365.0|Curious|Asking, or inquiring in nature|NO, I would like to finish the survey now.||742.0|-365.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2D0mCzS4HVGk3pq|5|a family member|my hand|at home|someone is touching my hand many times|if you can feel the touch|Yes, that would be okay.|fast,soft|863.0|408.0|wonder|calming,attention|YES, show me another video||863.0|-408.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2EAgne4S1sIHN9l|5|A colleague|the arm|In the office|We are all focusing on our computers|I just asked him to tough and I will explain later to him why I asked him to touch|Yes, that would be okay.|Patting Consistent, Light|192.0|192.0|Massages|A bit annoying|NO, I would like to finish the survey now.||192.0|-192.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_24uY3uxA3H860Gp|5|my brother|my arm|around my house|I'm on the computer|he's trying to catch my attention|Yes, that would be okay.|buzzing and annoying|721.0|1158.0|annoyed|annoying|YES, show me another video||721.0|-1158.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2EFa8ugXQCAYzA5|5|A partner.|My face.|At home.|We are watching a TV show.|Not sure, could be because I am laying on their lap while we watch TV.|Yes, that would be okay.|Soft|914.0|545.0|Like I belong.|Blissful.|NO, I would like to finish the survey now.||914.0|-545.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_40nQMjCBZB8KcWl|5|My wife|My stomach|Living room|She is constantly tapping my stomach with one finger. The feeling is annoying and monotonous|To annoy me|Yes, that would be okay.|Annoying, poking, persistent|394.0|954.0|Annoyed|Annoying and uncomfortable|NO, I would like to finish the survey now.||394.0|-954.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3QMiW5ytCQfnrXs|5|friend or romantic partner|arm|at home or somewhere public mas discreet|some argument in which the other person is trying to prove his/her point or maybe accusing|to make sure that I'm listening and to make a statement|No, it would not be okay.|annoying|402.0|307.0|annoyed|annoying and aggressive|NO, I would like to finish the survey now.||402.0|-307.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2Yt6t2IhCw8dq4y|5|My momma|My left wrist|My bedroom|My mom enters my bedroom and starts touching me in the hand to grab my attention|To grab my attention|Yes, that would be okay.|Vibrating|837.0|576.0|Calm|Noticeable|YES, show me another video||837.0|-576.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2QrK58otnUCViIt|5|My little boy|My arms|Sitting on the floor in his bedroom|Playing with his Lego after school|To get my attention|Yes, that would be okay.|Gentle tapping|718.0|722.0|Needed,|Persistent,|NO, I would like to finish the survey now.||718.0|-722.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1PaQHSxM7ZF7CWY|5|Sister|Shoulder|Home|I’m on the phone|She needs something from me but doesnt want to interrupt.|Yes, that would be okay.|Repetitive|514.0|1097.0|Slightly annoyed|Irritating|YES, show me another video||514.0|-1097.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2QlVUQvwVbHWk0D|5|A medical professional|The left forearm|In a room in an office, with the arm resting on a table covered in a black tablecloth.|Another person is tapping me with the tip of their right index finger several times softly on my left forearm.|to gently evoke sensibility and test my sense of feeling. I am being examined.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Quick, regular, gentle, soft, repetitive, mild, touching|948.0|500.0|Insecure, uncertain, anxious, aroused, uneasy|Soft, gentle, odd, sterile|YES, show me another video||948.0|-500.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1hRKfXK0zUcjWqA|5|My boyfriend|My neck|In his house|We are listening to music|To be more intimate with me|Yes, that would be okay.|Tapping, Embracing, warm, intense, persistent, rhythmic, soft, tense|1146.0|292.0|Admiration, affection, belonging, compassion, connection, desire, horny, joy, romance, submissive|arousing, blissful, bonding, calming, desirable, dominating, erotic, intimate, pleasant, sensual, sexy, vivid, warm|YES, show me another video||1146.0|-292.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_bqj2Z2Gw2ezzRAt|5|My sister|My hand|On my couch, home.|I'm watching tv|To show me something in her smartphone.|Yes, that would be okay.|Light, slow.|1148.0|1035.0|Delighted, confusion, excitement.|Exciting, uplifting.|NO, I would like to finish the survey now.||1148.0|-1035.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_Av5yFF7Tn8xwIuZ|5|My best mate|Arm|In the park|We are sitting on the bench on summer day, just chilling, watching people.|To get my attention|Yes, that would be okay.|Gentle tapping|1218.0|940.0|Curious|Enjoyable|NO, I would like to finish the survey now.||1218.0|-940.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_21thEpU1CZn6kuZ|5|My girlfriend|My arm|In a Pub|We're waiting for our food|Getting my attention and playing with me|Yes, that would be okay.|Tapping|1103.0|702.0|Calmness and affection|Relaxing and bonding|YES, show me another video||1103.0|-702.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2zbChN6cq6okkhW|5|wife|back|at home|waking me up|waking me up|Yes, that would be okay.|warm|823.0|1025.0|fragile|calm|NO, I would like to finish the survey now.||823.0|-1025.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1DGT5He456PLaNX|5|Work Colleague|Upper Arm|Work|Asking a question|Getting my attention|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Poking Inquisitively|637.0|758.0|Poked, Probed, Invaded, Needed|Light, Attention Grabbing|YES, show me another video||637.0|-758.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1FRi6aT39QG13Um|5|My father|Wrist|In my house|He is touching my wrist repeatedly while we are watching tv|To annoy me|Yes, that would be okay.|Poking,Shaking,Fast,Annoying,|827.0|993.0|Agitation,|Anooying,Purposefull,Invasive|NO, I would like to finish the survey now.||827.0|-993.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_25FNibPwrH3BMqC|5|a stranger|arm or shoulder|in the street|i'm walking in the street and somebody comes up to me|make me pay attention for him to say something|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|invasive, annoying, vibrating, shaking|566.0|838.0|I feel invaded|The touch is intrusive|YES, show me another video||566.0|-838.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3Oq9evS9j4f8Dgy|5|a workmate|MyHand|In the office at work|My workmate is typing in his office and I am currently doing my Prolific study|Greeting|Yes, that would be okay.|Consistent Tapping|178.0|696.0|Annoyed|unneccessary and distracting|YES, show me another video||178.0|-696.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_QigR8Vip6vVKFrj|5|a stranger|my shoulder|in the bus|the stranger wants to get my attention because I dropped my wallet|getting my attention|Yes, that would be okay.|tapping|713.0|715.0|surprised|a little agressive, fast|NO, I would like to finish the survey now.||713.0|-715.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1d5pclTok3EhZae|5|A friend|My shoulder|In classroom|The person is touching me to annoy me or get my attention while sitting in class|They are trying to get my attention by touching me|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|The touch is tapping in a very smooth way|871.0|1037.0|Its making my feel discomfort and making me upset|The touch is annoying and distracting|NO, I would like to finish the survey now.||871.0|-1037.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3HUH95CeXXGmb7G|5|my father|my hand|at my house|I'm distracted and the person is trying to get my attention|get my attention|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|poking and persistent|702.0|1083.0|stress|irritating|YES, show me another video||702.0|-1083.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2zYBMKHq8zAcou3|5|A stranger|Shoulder|In public, possibly waiting in line at a store|The person is trying to get my attention. Perhaps I've dropped something, or can move ahead in the queue|They are trying to get my attention in a polite and non-intrusive way, likely to alert me to something in the environment or to ask a question|Yes, that would be okay.|Gentle, non-intrusive, tapping|805.0|980.0|Alerted but not alarmed, brought into awareness of my surroundings|Gentle, repetitive, non-intrusive|YES, show me another video||805.0|-980.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2cvBWXlQezyt5wb|5|A friend|Arm or Forearm|Possibly at home|The person is tapping their finger on a forearm|I would imagine it would be to annoy me|No, it would not be okay.|This would e a persistent patting|533.0|531.0|Annoyed|Very Annoying|NO, I would like to finish the survey now.||533.0|-531.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1MX0HMWqhGsfj2M|5|A friend or a child|The arm or the upper arm|At home, or somewhere public|If it's at home with a child, it would be their way of wanting to show/ask something. If in a social setting, it's someone wanting to warn you about something or grab your attention for whatever reason.|In any case, it's someone trying to catch or get your attention.|Yes, that would be okay.|Catching, surprising, rythmic|704.0|490.0|Surprised, maybe annoyed or scared if I wasn't expecting it.|Attention grabbing|NO, I would like to finish the survey now.||704.0|-490.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_DMP8y54cJK6p2md|5|a friend|forearm|at the hairdresser|My friend want to annoy me|To get my attention|Yes, that would be okay.|Tapping,  Fleshy|234.0|777.0|Amusement|Annoying|NO, I would like to finish the survey now.||234.0|-777.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_b2bcTzxFkk9m969|5|a colleague|back|at work|i'm seated at my desk, he is tapping  behind my on my shoulder|calling for my attention and for my help|Yes, that would be okay.|patting, persistent, solid, pointy,|607.0|569.0|alienation, cautious, confusion, curiosity, empathy, nervous, tense,|demanding, friendly, invasive, noticeable, suspicious, vivid|NO, I would like to finish the survey now.||607.0|-569.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3JG1WEfMIxz5Xrz|5|A classmate|Shoulders|At school|They are touching my shoulder endlessly|To ask me something|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Consistent, Localized and Annoying|391.0|303.0|Annoyed, kind of angry and irritable.|Annoying, Unpleasant, Demanding, Attention Grabbing and Invasive|NO, I would like to finish the survey now.||391.0|-303.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_6JqHWzBe72vJNrH|5|My daughter|On my arn|In the car|I am driving and my daughter in the passenger seat|She is trying to draw my attention to something|Yes, that would be okay.|Soft, gentle, fast, urgent|970.0|531.0|Aware,|Soft but assertive|YES, show me another video||970.0|-531.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_9TTZLXteJjTxbNL|5|A friend|My back|In the street|He is touching me on the back. I didn't see him.|His intention is to surprise me that he arrived without me noticing.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Rhythmic, Smooth, Weak|617.0|839.0|Numb, Curiosity|Attention Grabbing, Friendly, Gentle|YES, show me another video||617.0|-839.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_338R35QzlP7f7Lf|5|Partner, Child|Arm, Thighs, belly|Home, Store, Outside|Maybe the child needs something. The partner teases|Maybe the child needs something. The partner teases|Yes, that would be okay.|Not particularly special|736.0|708.0|I feel like someone needs me. It feels good|The touch is gentle, friendly|YES, show me another video||736.0|-708.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1pst6ESI5zFgeKl|5|My GP|Wrist|GP's consultation room|The GP is checking my temperature and pulse.|To check whether my temperature and pulse are normal.|Yes, that would be okay.|Soft tapping|750.0|809.0|Okay|Soft and fluttery.|NO, I would like to finish the survey now.||750.0|-809.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2eb4dc14FtPL8L2|5|My boyfriend|My forehead|At home|We are talking and laughing|To playfully tease me|Yes, that would be okay.|Warm|976.0|420.0|Affection|Playful|YES, show me another video||976.0|-420.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1Edq0bqaB3oq3ke|5|with my girlfriend|on my left upper leg|in my living room|we are watching tv, taking a relaxing day off on the weekend. She touches me in a playful but soft way.|It is to create some intimacy, without sexual intention, but to strengthen our bond and getting closer together.|Yes, that would be okay.|i would say its vibrating, like a soft tapping sensation, giving warm feelings like little pats|1194.0|696.0|i feel loved and embraced by my significant other and i feel definetely released of some stress, just by this little motion.|The touch is gentle but intense in some way, its a sensual, tender and warm feeling|NO, I would like to finish the survey now.||1194.0|-696.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_BE88pSNRFjc7YI1|5|a friend|arm|at home|poking|maybe trying to provoke me|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|tickling|214.0|414.0|annoyed|provocative|NO, I would like to finish the survey now.||214.0|-414.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2bW8IGS38WoIxB2|5|Co worker|Arm|Work|Co worker is tapping my arm to get attention|To encourage me to interact with a co worker to provide support|Yes, that would be okay.|Urgent, questionable|704.0|680.0|Curious|Open, friendly, in need of help|YES, show me another video||704.0|-680.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_CjojIyXm7xzcaVr|5|A  baby  playing  with  me|Thigh|In  the  lounge|Watching  cartoons  with  her|she sitting  on  lap watching  cartoons , and  start  tapping  my  thigh|Yes, that would be okay.|patting|940.0|242.0|calmness|blissful  i would  say|YES, show me another video||940.0|-242.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_T01a51sVqYF6zS1|5|a colleague|shoulder|at work|Colleague taps me on shoulder, because I am focused i get irritated|To ask a question|Yes, that would be okay.|Verb: Patting. Adjerctive: smooth|463.0|970.0|Cautious|Creepy|YES, show me another video||463.0|-970.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2xQd0NxfAjFPgfA|5|A child|A shoulder or an arm|Can be at a park|The child is interested in something and wants to ask a question|The child is curious and wants to get my attention to ask something.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Poking, intense, irregular|159.0|157.0|Anger, discomfort|Annoying|YES, show me another video||159.0|-157.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2ALGNDAbA1LY6PA|5|a family member|lower leg|at a cafe|someone new came|drag attencion|Yes, that would be okay.|buzzing, tickling, tapping|509.0|768.0|fear focused|agressive, dominating, intense|YES, show me another video||509.0|-768.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1N3zH6uLZAjZ9U4|5|a child|leg|family house|having dinner|annoying me and making me play with them|No, it would not be okay.|consistent, fast, localized, mechanical, persistent|200.0|274.0|agitation, anger, unsafe, upset, irritable, humiliation, impatience, insecurity|annoying, uncomfortable, unpleasant, unsettling|NO, I would like to finish the survey now.||200.0|-274.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_XpvQYx5XsN4DMyt|5|my boyfriend|my arm|at home|we're sitting somewhere at home, probably on the couch|he wants my attention, he wants to show mi something|Yes, that would be okay.|poking, persistent, soft|879.0|855.0|curious, involved|Purposeful,Noticeable|YES, show me another video||879.0|-855.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3IRiflorUTr7RsN|5|A child|My head|In the classroom|The child is being playful and annoying me|To be playful|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Hard Poking|476.0|533.0|I feel annoyed and irritable|The touch is attention grabbing and unpleasant|NO, I would like to finish the survey now.||476.0|-533.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1lcSXySfnZnwO04|5|a student|my shoulder|at work|I am teaching|The student is trying to get my attention.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|It's a gentle but persistent touch.|682.0|1208.0|The touch does not affect me emotionally.|persistent and soft|YES, show me another video||682.0|-1208.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
