word,count
sensation,4
sex,4
shared,4
should,4
small,4
social,4
somewhere,4
sore,4
still,4
tests,4
than,4
thing,4
think,4
tip,4
touchy,4
towards,4
train,4
travelling,4
turn,4
type,4
upsetting,4
videos,4
visit,4
words,4
wrong,4
young,4
acquaintance,3
admiring,3
afternoon,3
again,3
amazing,3
angry,3
annoyed,3
applying,3
asks,3
attack,3
attempting,3
attending,3
bar,3
beach,3
beside,3
boredom,3
breaking,3
caf,3
can't,3
caress,3
cartoons,3
certain,3
city,3
clean,3
communicate,3
concentrate,3
consent,3
constantly,3
couple,3
coworkers,3
crowd,3
curious,3
current,3
cute,3
de,3
decide,3
decided,3
delicate,3
depressed,3
dropped,3
dry,3
en,3
encouragement,3
encouraging,3
energy,3
enough,3
est,3
etc,3
events,3
every,3
examines,3
explain,3
facing,3
fallen,3
favourite,3
feet,3
firmly,3
floor,3
forehead,3
forth,3
girl,3
gone,3
goodbye,3
grabs,3
great,3
greets,3
heard,3
hug,3
hurting,3
il,3
information,3
initiate,3
injection,3
interrupting,3
intimacy,3
irritating,3
itchy,3
jokingly,3
keep,3
keeping,3
leaning,3
leaving,3
listen,3
lives,3
losing,3
makes,3
mall,3
massages,3
missed,3
moja,3
nagging,3
nap,3
nerves,3
no,3
only,3
other's,3
others,3
painful,3
paint,3
parent,3
passenger,3
pen,3
persons,3
pet,3
pets,3
physiotherapist,3
pleasure,3
pointing,3
professor,3
quality,3
questions,3
quiet,3
quite,3
random,3
randomly,3
reason,3
receive,3
regular,3
relax,3
relief,3
remotely,3
remove,3
repeated,3
rubing,3
sat,3
scary,3
scrolling,3
seeking,3
sees,3
serious,3
shes,3
shop,3
short,3
sick,3
sign,3
silence,3
similar,3
smile,3
snack,3
snacks,3
socializing,3
soothe,3
speak,3
spilled,3
starting,3
staying,3
store,3
strange,3
stress,3
stroke,3
study,3
studying,3
sunscreen,3
supermarket,3
sweet,3
talked,3
taxi,3
team,3
temperature,3
there's,3
theres,3
tickling,3
tired,3
toddler,3
top,3
topics,3
unfortunate,3
usually,3
walks,3
whinging,3
why,3
window,3
wine,3
woke,3
worried,3
year,3
younger,3
above,2
accompanied,2
activities,2
adults,2
affectionately,2
agreed,2
along,2
already,2
alright,2
anything,2
apply,2
approaches,2
areas,2
argument,2
arrive,2
assignements,2
awake,2
aware,2
awkward,2
babysitting,2
bag,2
ball,2
beer,2
begin,2
begins,2
bothers,2
breakdown,2
breakup,2
broke,2
budzi,2
business,2
buying,2
calf,2
called,2
calmly,2
cant,2
cartoon,2
cases,2
cat,2
cause,2
causes,2
challenges,2
check-up,2
checks,2
chilled,2
church,2
cleaning,2
closed,2
closer,2
cognitive,2
collegue,2
comida,2
como,2
con,2
concern,2
concert,2
confiding,2
conforting,2
cool,2
cos,2
couldn't,2
creepy,2
criticizing,2
cuddled,2
dad,2
daily,2
dead,2
death,2
decides,2
del,2
didnt,2
died,2
difficulty,2
direction,2
directions,2
discussion,2
dishes,2
distance,2
doctor's,2
doctors,2
doesn't,2
dotykany,2
drive,2
due,2
eachother,2
ear,2
earlier,2
earphones,2
emotionally,2
emotions,2
emphasising,2
encounter,2
ensure,2
entertain,2
estamos,2
estn,2
estoy,2
even,2
everyday,2
exactly,2
examined,2
exams,2
exchange,2
experience,2
express,2
facciamo,2
falling,2
familiar,2
fare,2
faster,2
favor,2
feelings,2
fiance,2
finally,2
finds,2
finish,2
focus,2
football,2
foreplay,2
forward,2
free,2
fridge,2
friend's,2
full,2
gain,2
garden,2
general,2
gets,2
goes,2
goosebumps,2
grabbed,2
grade,2
grass,2
greeting,2
growing,2
guest,2
guests,2
guy,2
haciendo,2
hairdresser,2
half,2
happen,2
happend,2
hate,2
healer,2
hi,2
himself,2
hit,2
hour,2
hovering,2
hugged,2
i'd,2
idea,2
ignoring,2
imagine,2
impatient,2
impatiently,2
injured,2
insistently,2
instructor,2
interact,2
interacting,2
interaction,2
irritated,2
ketchup,2
kicking,2
kissing,2
kitty,2
knocks,2
knowing,2
lady,2
late,2
lately,2
laughs,2
lead,2
lean,2
legs,2
less,2
library,2
lotion,2
loud,2
loving,2
machine,2
masaje,2
massaged,2
masseur,2
masseuse,2
meal,2
measuring,2
medication,2
mia,2
middle,2
minding,2
missing,2
mocking,2
months,2
mood,2
mosquito,2
motivation,2
movement,2
moves,2
moving,2
name,2
napping,2
near,2
negative,2
noise,2
normally,2
notes,2
notice,2
noticed,2
notices,2
numbing,2
often,2
one's,2
online,2
open,2
operation,2
opinion,2
ordering,2
oven,2
overwhelmed,2
para,2
parte,2
passed,2
passeggiata,2
past,2
penis,2
per,2
perform,2
persona,2
phones,2
physio,2
pick,2
picking,2
pimple,2
places,2
plans,2
plays,2
pociesza,2
pocieszany,2
poke,2
pokes,2
polite,2
pool,2
positive,2
possible,2
possibly,2
pretending,2
prodding,2
projects,2
prosi,2
proud,2
providing,2
pub,2
publishing,2
pulse,2
purpose,2
putting,2
quickly,2
rather,2
reassured,2
recently,2
regarding,2
reiki,2
relationship,2
respond,2
response,2
restaurant,2
rodrigo,2
roommate,2
runs,2
scratching,2
seems,2
sensual,2
served,2
setting,2
settling,2
shoot,2
sibling,2
singing,2
slapping,2
slides,2
slow,2
smiles,2
smoke,2
someone's,2
song,2
spent,2
spouse,2
sprained,2
stand,2
state,2
stiff,2
stop,2
stopped,2
stops,2
stove,2
stroked,2
strong,2
strongly,2
stuck,2
such,2
sun,2
sunny,2
supports,2
sure,2
tables,2
takes,2
tapped,2
tattoo,2
teaching,2
tease,2
teasing,2
tells,2
tenderly,2
tenderness,2
tested,2
that's,2
thinks,2
those,2
though,2
thoughts,2
tickles,2
tingling,2
tocco,2
today,2
took,2
topic,2
tousch,2
town,2
toy,2
trading,2
transport,2
trick,2
tried,2
troubles,2
twice,2
uncontrollably,2
understand,2
unhappy,2
unpleasant,2
usual,2
uwage,2
vein,2
veins,2
vented,2
vigorously,2
wallet,2
warning,2
washed,2
washing,2
wearing,2
week,2
weekend,2
weight,2
whatever,2
