word,count
indifference,19
keep,19
mood,19
move,19
niece,19
normal,19
old,19
palm,19
party,19
pleasure,19
regular,19
sadness,19
secure,19
shock,19
sit,19
strange,19
test,19
thrilled,19
treatment,19
whether,19
arouse,18
away,18
caress,18
cheek,18
classmate,18
craving,18
cream,18
flirting,18
friend's,18
intimacy,18
legs,18
made,18
mine,18
mum,18
positive,18
slapping,18
sort,18
teasing,18
ticklish,18
told,18
un,18
understood,18
using,18
velvety,18
watch,18
weak,18
why,18
worried,18
against,17
aggresive,17
busy,17
caresses,17
client,17
content,17
coworker,17
cuddle,17
date,17
fragile,17
front,17
imagine,17
impacting,17
joke,17
kid,17
less,17
nostalgia,17
overwhelmed,17
pass,17
peaceful,17
pounding,17
problem,17
social,17
submissive,17
sweaty,17
tension,17
therapy,17
always,16
attentive,16
buzzing,16
closer,16
defensiveness,16
did,16
examination,16
fell,16
form,16
grandma,16
helping,16
intentional,16
la,16
lively,16
might,16
music,16
pats,16
private,16
sensitive,16
shaking,16
shows,16
sign,16
spot,16
start,16
subtle,16
taps,16
tenderness,16
two,16
alright,15
anxiety,15
came,15
careful,15
come,15
conflicted,15
crawling,15
currently,15
deep,15
dense,15
dominating,15
driving,15
event,15
food,15
full,15
game,15
gathering,15
grateful,15
interested,15
irritate,15
job,15
lifting,15
likely,15
lunch,15
mi,15
particular,15
pat,15
paying,15
peace,15
rather,15
reading,15
relieve,15
rka,15
shocked,15
shocking,15
sibling,15
sleep,15
slowly,15
spouse,15
store,15
strokes,15
thing,15
transport,15
under,15
again,14
classroom,14
clinic,14
computer,14
connect,14
disgust,14
drinking,14
emotionally,14
en,14
enough,14
familiar,14
fleshy,14
fluid,14
gives,14
grandparent,14
hairdresser,14
inappropriate,14
initiate,14
joking,14
mostly,14
muscle,14
nasty,14
noticed,14
only,14
pub,14
put,14
received,14
relationship,14
sharp,14
shown,14
small,14
somebody,14
space,14
suprised,14
tentative,14
understanding,14
waking,14
warming,14
warmth,14
went,14
anything,13
apartment,13
bothering,13
cause,13
chair,13
cooking,13
enjoying,13
fear,13
female,13
few,13
forehead,13
gain,13
garden,13
happens,13
hug,13
hurts,13
intimidating,13
intrusive,13
knows,13
language,13
line,13
loves,13
mall,13
near,13
numb,13
re,13
setting,13
short,13
since,13
somewhat,13
standing,13
such,13
tease,13
thighs,13
thrilling,13
usually,13
whatever,13
whilst,13
above,12
attention-grabbing,12
beach,12
