word,synset,definition,synonyms
video,video.n.01,the visible part of a television transmission,picture
take,return.n.06,the income or profit arising from such transactions as the sale of land or other property,"return, issue, takings, proceeds, yield, payoff"
member,member.n.01,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),fellow_member
getting,acquiring.n.01,the act of acquiring something,acquiring
chat,chat.n.01,an informal conversation,"confab, confabulation, schmooze, schmoose"
girlfriend,girlfriend.n.01,any female friend,N/A
pain,pain.n.01,a symptom of some physical hurt or disorder,hurting
pain,pain.n.02,emotional distress; a fundamental feeling that people try to avoid,painfulness
touched,touch.v.01,"make physical contact with, come in contact with",touch
skin,skin.n.01,a natural protective body covering and site of the sense of touch,"tegument, cutis"
patting,chuck.v.03,"pat or squeeze fondly or playfully, especially under the chin","chuck, pat"
patting,dab.v.02,hit lightly,"dab, pat"
know,know.n.01,the fact of being aware of information that is known to few people,N/A
know,know.v.01,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,"cognize, cognise"
romantic,amatory.s.01,expressive of or exciting sexual love or romance,"amatory, amorous"
try,try.v.01,make an effort or attempt,"seek, attempt, essay, assay"
make,make.v.03,make or cause to be or to become,create
comes,come.v.01,"move toward, travel toward something or somebody or approach something or somebody","come, come_up"
behind,behind.r.01,in or to or toward the rear,N/A
rub,rub.n.02,the act of rubbing or wiping,wipe
lying,lying.n.01,the deliberate act of deviating from the truth,"prevarication, fabrication"
maybe,possibly.r.01,by chance,"possibly, perchance, perhaps, mayhap, peradventure"
checking,check.v.01,"examine so as to determine accuracy, quality, or condition","check, check_up_on, look_into, check_out, suss_out, check_over, go_over, check_into"
head,head.n.01,the upper part of the human body or the front part of the body in animals; contains the face and brains,caput
asleep,asleep.a.01,in a state of sleep,N/A
asleep,asleep.r.01,into a sleeping state,N/A
massage,massage.n.01,kneading and rubbing parts of the body to increase circulation and promote relaxation,N/A
catch,catch.n.09,the act of catching an object with the hands,"grab, snatch, snap"
phone,telephone.n.01,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,"telephone, telephone_set"
problems,problem.n.01,a state of difficulty that needs to be resolved,"problem, job"
emotional,emotional.a.01,determined or actuated by emotion rather than reason,N/A
cry,cry.n.01,a loud utterance; often in protest or opposition,"outcry, call, yell, shout, vociferation"
see,see.v.01,perceive by sight or have the power to perceive by sight,N/A
affection,affection.n.01,a positive feeling of liking,"affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia"
making,make.v.03,make or cause to be or to become,"make, create"
reassured,reassure.v.01,cause to feel sure; give reassurance to,"reassure, assure"
calm,composure.n.01,steadiness of mind under stress,"composure, calmness, equanimity"
husband,N/A,N/A,N/A
therapist,therapist.n.01,a person skilled in a particular type of therapy,healer
stroking,stroke.n.05,a light touch with the hands,stroke
stroking,stroke.v.01,"touch lightly and repeatedly, as with brushing motions",stroke
outside,N/A,N/A,N/A
another,another.s.01,any of various alternatives; some other,some_other
dinner,dinner.n.01,the main meal of the day served in the evening or at midday,N/A
people,people.n.01,(plural) any group of human beings (men or women or children) collectively,N/A
wake,wake.v.01,"be awake, be alert, be there",N/A
