Word,Total_Freq,var,video_1,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,videos_3_11_7_19_17_23_9_1_21_5_13_15,videos_16_22_14_12_4_2_10_8_24_6_18_20,videos_16_14_3_4_2_17_6_18_1_5_13_15,videos_22_11_12_7_19_10_8_24_23_9_20_21,videos_16_22_14_19_17_24_18_23_20_21_13_15,videos_3_11_12_7_4_2_10_8_6_9_1_5,videos_14_7_19_2_8_20_1_13,videos_16_22_3_4_10_9_21_15,videos_11_12_17_24_6_18_23_5
stranger,116,Betabinom_Hellinger,0.6936951140833755,0.6758239065575169,0.6865722047143693,0.7647130809391927,0.4396349674023633,0.621425939533039,-0.2870610127889933,-0.4313763284375506,-0.2050842758603778,-0.2829242555995484,-0.1591214273114919,-0.1874325658738277,0.3186781812885438,-0.3304787183863673,-0.2088412930300134,0.3097404733277843,-0.3630401101824522,0.3599892723002432,-0.3067976163345216,-0.2365670467020268,-0.592666801801162,-0.5093946430770726,-0.4919234825786,-0.517930492284394,-0.2240958783143452,0.221526090038765,0.99714435118885,-0.9970768594054654,-0.9523399661279254,0.948961226650436,0.1327176512277374,0.1235793830163218,-0.1815661162880361
healer,4,Betabinom_Hellinger,0.6886913295482141,0.3037807240372533,0.3070035970586988,0.3157764913329428,0.5284458002243656,0.305925376214737,0.2871555702209166,0.3213994776762595,0.3080858026476939,0.3191368158351864,0.2984860341651757,0.3135581165278674,0.2912270188473024,0.5361572718160912,0.3070035970586988,0.2891845183608956,0.3005926245753964,0.3005926245753964,0.3135581165278674,0.2995374729788115,0.2811477951191297,0.3027142125223228,0.3070035970586988,0.3005926245753964,0.2806518444694589,-0.2771983677836988,0.5814132549182812,-0.5802465084867022,-0.321257859159987,0.3166434319295135,0.5047741950304621,-0.337268131194869,-0.0657784936753865
woman,5,Betabinom_Hellinger,0.6685309439793693,0.2812510313357614,0.2847414637467435,0.2942592673482925,0.2755244930544909,0.2835733486875226,0.6534452241433507,0.3003714843976413,0.2859142737697541,0.297910910871424,0.2755244930544909,0.5190654342690934,0.2676902422240788,0.2859142737697541,0.2847414637467435,0.2654896561017791,0.2778017183888756,0.2778017183888756,0.2918503386082548,0.2766608993340963,0.2568484713696909,0.2800967455435655,0.2847414637467435,0.2778017183888756,0.3904402147984904,-0.3858977471808044,-0.1419350854601557,0.1415924392704035,-0.6771148299334342,0.6696564719240254,0.6021407948634157,-0.4100756182842416,-0.1271896650689702
coworker,21,Betabinom_Hellinger,0.5842545128830701,0.2730573086500692,0.2792138582157398,0.1350641021764655,0.5668222312404393,0.2771506784767347,0.2419082159176861,0.3070404259448314,0.1356887226127682,0.3026369977133491,0.2630166581499241,0.1349967228547514,-0.1450805114196791,0.2812880343117804,0.135968717655787,-0.1468922081197586,0.4359774534167342,0.1385682995761849,0.1349967228547514,0.265002706460026,0.2309783641898672,0.1375327133614002,0.2792138582157398,0.4359774534167342,0.3291577313397202,-0.3254144806853118,0.2148155996142929,-0.2143244631662783,-0.4082351329631657,0.4028634993938041,0.1968845498458286,-0.5509400379671857,0.4386171366379597
child,203,Betabinom_Hellinger,0.5802068501442867,0.1570718405566632,0.4357988098704856,0.3369103392324844,0.6388396985339754,0.9466310089242982,-0.5399523900600514,-0.3494437336762793,-0.1644400017409741,0.1580297555645584,0.5227250929964752,0.4008148359521905,-0.2301344921531744,-0.4259207926024758,-0.4320444495166742,0.4022110752590578,0.1553012284858758,0.6489370948653066,-0.6249639988406337,-0.5810260637143687,-0.4726084007389817,-0.5651297502421079,-0.5431761362008836,-0.682625697219235,-0.3921132175990244,0.3878707712060425,0.9852530560451264,-0.9850121838926854,-0.979866188467726,0.977936642659344,-0.8440241312248216,-0.327641922038127,0.9228636065072244
bus,3,Betabinom_Hellinger,0.5614004205541022,0.3289257160294674,0.559926967682138,0.3397183208367803,0.3241525810888122,0.3308573902164251,0.3139163088090201,0.3447679012070975,0.3328023077005735,0.3427366590599025,0.3241525810888122,0.3377245695536572,0.3175981965698343,0.3328023077005735,0.559926967682138,0.3157516530882007,0.326052400055606,0.326052400055606,0.3377245695536572,0.3251009405351179,0.3084753679800236,0.3279647534223228,0.33182817481847,0.326052400055606,0.4791804436568355,-0.4737179143876772,0.4881151484555597,-0.4870438915145578,-0.1871331613077607,0.1843334322944755,0.1093574549610003,0.3793580435826973,-0.2546939316872264
reiki,3,Betabinom_Hellinger,0.5614004205541022,0.3289257160294674,0.33182817481847,0.3397183208367803,0.5541104567755374,0.3308573902164251,0.3139163088090201,0.3447679012070975,0.56066268969002,0.3427366590599025,0.3241525810888122,0.3377245695536572,0.3175981965698343,0.3328023077005735,0.33182817481847,0.3157516530882007,0.326052400055606,0.326052400055606,0.3377245695536572,0.3251009405351179,0.3084753679800236,0.3279647534223228,0.33182817481847,0.326052400055606,0.4791804436568355,-0.4737179143876772,0.1613953286707604,-0.1609947276915887,-0.5101360609749261,0.5033426163586102,0.1093574549610003,0.1074077094552532,0.1059488452816274
cousin,12,Betabinom_Hellinger,0.5594827425030738,0.3873805804652979,0.1752969546079692,0.4052127347156328,0.3794774820419943,0.5553432204108323,0.1535084536464059,0.1936692460182061,0.1766137596681214,0.4101893497711834,0.1653610994362445,0.4019228296173024,0.1575683125631158,0.1766137596681214,0.3921815895987933,0.1555019288882288,0.5485052630980435,0.1677439742602904,0.1834412340469898,0.1665439957285932,0.14797520432555,0.1701947658820289,0.1752969546079692,0.1677439742602904,-0.0314562760870137,0.0310868951703715,0.6891703749610335,-0.6880159166235958,-0.5746814514949011,0.5678467475309064,-0.1531241715911742,-0.1561894655544645,0.3959421495135178
female,12,Betabinom_Hellinger,0.5594827425030738,0.171445379507327,0.1752969546079692,0.1862845014925729,0.1653610994362445,0.3905762152943838,0.3625010782521047,0.1936692460182061,0.3937920674298192,0.4101893497711834,0.1653610994362445,0.1834412340469898,0.536376804959079,0.1766137596681214,0.3921815895987933,0.1555019288882288,0.1677439742602904,0.1677439742602904,0.1834412340469898,0.1665439957285932,0.3534655848803641,0.1701947658820289,0.3921815895987933,0.3826242051923348,0.5232687701330628,-0.517861901444345,-0.0060751881684687,0.0060612754568923,-0.0380739990419088,0.037534243933596,0.2419121013462045,0.0841021848070298,-0.1585038766844669
acquaintance,54,Betabinom_Hellinger,0.5424687047479965,-0.1782510338172183,-0.1719889276556716,-0.3375129184185129,-0.390553957471357,-0.1740250183786079,0.1523630897683259,0.3508405306048535,0.5395068527700329,0.3439584099894415,-0.189585529865588,0.6422625575529859,0.156544754872523,0.1854583388544687,0.307283273852255,0.3767405782700154,0.2881686080892772,-0.1849326948249999,0.1979012827271985,0.168728986005337,-0.2332100547175351,0.2944664491897135,0.307283273852255,-0.3841433072217748,0.033810958465784,-0.0333862326830303,-0.3817206709659563,0.3809075256754244,-0.1718010901475221,0.1693932953393827,0.1420356313834932,0.2176397160323185,-0.2732286682949922
